date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-05-19,104282.1292612881,1,1,1,87254.25708065779,,,
2025-05-20,104911.62194596606,1,1,1,87254.25708065779,,,
2025-05-21,106086.09145947456,1,1,1,87254.25708065779,,,
2025-05-22,107480.24359460593,1,1,1,87254.25708065779,,,
2025-05-23,107428.05769595444,1,1,1,87254.25708065779,,,
2025-05-24,107495.76827196582,1,1,1,87254.25708065779,,,
2025-05-25,107860.80120397438,1,-1,1,87254.25708065779,,,
2025-05-26,108242.30090298077,1,-1,1,87254.25708065779,,,
2025-05-27,108404.05067723557,1,-1,1,87254.25708065779,,,
2025-05-28,108233.81300792668,1,-1,1,87254.25708065779,,,
2025-05-29,107560.33475594502,1,-1,1,87254.25708065779,,,
2025-05-30,106657.75106695876,1,-1,1,87254.25708065779,,,
2025-05-31,106129.48830021908,1,-1,1,87254.25708065779,,,
2025-06-01,105992.94122516431,1,-1,1,87254.25708065779,,,
2025-06-02,105948.28091887322,1,-1,1,87254.25708065779,,,
2025-06-03,105793.73568915491,1,-1,1,87254.25708065779,,,
2025-06-04,105505.75176686617,1,-1,1,87254.25708065779,,,
2025-06-05,104493.96382514964,1,-1,1,87254.25708065779,,,
2025-06-06,104430.47286886223,1,-1,1,87254.25708065779,,,
2025-06-07,104699.72965164667,1,-1,1,87254.25708065779,,,
2025-06-08,104943.922238735,1,-1,1,87254.25708065779,,,
2025-06-09,106264.91667905124,1,-1,1,87254.25708065779,,,
2025-06-10,107257.53750928844,1,-1,1,87254.25708065779,,,
2025-06-11,107593.15313196633,1,-1,1,87254.25708065779,,,
2025-06-12,107097.23984897474,1,-1,1,87254.25708065779,,,
2025-06-13,106829.75488673105,1,-1,1,87254.25708065779,,,
2025-06-14,106462.29116504829,1,-1,1,87254.25708065779,,,
2025-06-15,106230.36837378622,1,-1,1,87254.25708065779,,,
2025-06-16,106360.30128033966,1,-1,1,87254.25708065779,,,
2025-06-17,105897.22596025474,1,-1,1,87254.25708065779,,,
2025-06-18,105631.11947019106,1,-1,1,87254.25708065779,,,
2025-06-19,105375.1146026433,1,-1,1,87254.25708065779,,,
2025-06-20,104842.86095198247,1,-1,1,87254.25708065779,,,
2025-06-21,104152.09571398686,1,-1,1,87254.25708065779,,,
2025-06-22,103340.24678549015,1,-1,1,87254.25708065779,,,
2025-06-23,103827.91008911762,1,-1,1,87254.25708065779,,,
2025-06-24,104379.65756683823,0,-1,0,,104379.65756683823,17125.400486180442,19.62700853707313
2025-06-25,105104.74317512868,0,-1,-1,105104.74317512868,,,
2025-06-26,105556.9823813465,0,-1,-1,105104.74317512868,,,
2025-06-27,105920.41178600988,0,-1,-1,105104.74317512868,,,
