date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-06-14,105359.9,1,-1,0,,,,
2025-06-15,105534.6,0,-1,-1,105534.6,,,
2025-06-16,106750.1,0,-1,-1,105534.6,,,
2025-06-17,104508.0,1,-1,0,,104508.0,1026.6000000000058,0.9727615398172786
2025-06-18,104832.8,0,-1,-1,104832.8,,,
2025-06-19,104607.1,0,-1,-1,104832.8,,,
2025-06-20,103246.1,0,-1,-1,104832.8,,,
2025-06-21,102079.8,0,-1,-1,104832.8,,,
2025-06-22,100904.7,0,-1,-1,104832.8,,,
2025-06-23,105290.9,0,-1,-1,104832.8,,,
2025-06-24,106034.9,0,-1,-1,104832.8,,,
2025-06-25,107280.0,0,-1,-1,104832.8,,,
2025-06-26,106913.7,0,-1,-1,104832.8,,,
2025-06-27,107010.7,0,-1,-1,104832.8,,,
2025-06-28,107241.0,0,-1,-1,104832.8,,,
2025-06-29,108309.8,0,-1,-1,104832.8,,,
2025-06-30,107087.4,0,-1,-1,104832.8,,,
2025-07-01,105637.9,0,-1,-1,104832.8,,,
2025-07-02,108800.0,0,-1,-1,104832.8,,,
2025-07-03,109545.2,0,-1,-1,104832.8,,,
2025-07-04,107935.4,1,-1,0,,107935.4,-3102.5999999999913,-2.959569905602055
2025-07-05,108153.4,0,-1,-1,108153.4,,,
2025-07-06,109145.8,0,-1,-1,108153.4,,,
2025-07-07,108203.9,1,-1,0,,108203.9,-50.5,-0.04669293799362757
2025-07-08,108873.1,1,-1,0,,,,
2025-07-09,111199.9,1,-1,0,,,,
2025-07-10,115979.2,1,-1,0,,,,
2025-07-11,117500.0,1,-1,0,,,,
2025-07-12,117389.3,1,-1,0,,,,
2025-07-13,119038.3,1,-1,0,,,,
2025-07-14,119816.5,1,-1,0,,,,
2025-07-15,117738.5,1,-1,0,,,,
2025-07-16,118590.7,1,-1,0,,,,
2025-07-17,119176.6,1,-1,0,,,,
2025-07-18,117896.4,1,-1,0,,,,
2025-07-19,117814.4,1,-1,0,,,,
2025-07-20,117216.0,1,-1,0,,,,
2025-07-21,117330.2,1,-1,0,,,,
2025-07-22,119993.7,1,-1,0,,,,
2025-07-23,118713.5,1,-1,0,,,,
2025-07-24,118294.3,1,-1,0,,,,
2025-07-25,117583.5,1,-1,0,,,,
2025-07-26,117889.2,1,-1,0,,,,
2025-07-27,119423.4,1,-1,0,,,,
2025-07-28,118041.4,1,-1,0,,,,
2025-07-29,117897.0,1,-1,0,,,,
2025-07-30,117771.0,1,-1,0,,,,
2025-07-31,115697.3,1,-1,0,,,,
2025-08-01,113244.8,1,-1,0,,,,
2025-08-02,112508.8,1,-1,0,,,,
2025-08-03,114150.8,1,-1,0,,,,
2025-08-04,115002.1,1,-1,0,,,,
2025-08-05,114069.6,1,-1,0,,,,
2025-08-06,114941.0,1,-1,0,,,,
2025-08-07,117419.9,1,-1,0,,,,
2025-08-08,116628.2,1,-1,0,,,,
2025-08-09,116422.1,1,-1,0,,,,
2025-08-10,119255.3,1,-1,0,,,,
2025-08-11,118641.9,1,-1,0,,,,
2025-08-12,120081.0,1,-1,0,,,,
2025-08-13,123323.9,1,-1,0,,,,
2025-08-14,118242.2,1,-1,0,,,,
2025-08-15,117279.2,1,-1,0,,,,
2025-08-16,117329.7,1,-1,0,,,,
2025-08-17,117353.8,1,-1,0,,,,
2025-08-18,116183.6,1,-1,0,,,,
2025-08-19,112824.2,1,-1,0,,,,
2025-08-20,114220.5,1,-1,0,,,,
2025-08-21,112462.2,1,-1,0,,,,
2025-08-22,116897.5,1,0,0,,,,
2025-08-23,115377.1,1,0,0,,,,
2025-08-24,113446.3,1,0,0,,,,
2025-08-25,110064.0,1,0,0,,,,
2025-08-26,111709.9,1,0,0,,,,
2025-08-27,111194.9,1,0,0,,,,
2025-08-28,112507.3,1,0,0,,,,
2025-08-29,108332.4,1,0,0,,,,
2025-08-30,108757.9,1,0,0,,,,
2025-08-31,108208.4,1,0,0,,,,
2025-09-01,109187.9,1,0,0,,,,
2025-09-02,111188.0,1,0,0,,,,
2025-09-03,111659.8,1,0,0,,,,
2025-09-04,110679.4,1,0,0,,,,
2025-09-05,110614.9,1,0,0,,,,
2025-09-06,110135.3,1,0,0,,,,
2025-09-07,111076.0,1,0,0,,,,
2025-09-08,112012.6,1,0,0,,,,
2025-09-09,111499.9,1,0,0,,,,
2025-09-10,113896.8,1,0,0,,,,
2025-09-11,115427.0,1,0,0,,,,
2025-09-12,115978.4,1,0,0,,,,
2025-09-13,115862.7,1,0,0,,,,
2025-09-14,115210.0,1,0,0,,,,
2025-09-15,115300.6,1,0,0,,,,
2025-09-16,116747.3,1,0,0,,,,
2025-09-17,116402.5,1,0,0,,,,
2025-09-18,117017.1,1,0,0,,,,
2025-09-19,115569.5,1,0,0,,,,
2025-09-20,115624.9,1,0,0,,,,
2025-09-21,115183.9,1,0,0,,,,
